Generation F-Min F-Moy F-Max
373 113.8125 155.48375000000001 198.375
374 114.4375 155.82524999999998 196.5
375 115.4375 156.17775 198.75
376 116.4375 156.53275 197.0625
377 116.9375 156.859 198.75
378 117.6875 157.1975 198.375
379 117.8125 157.54275 199.625
380 117.8125 157.88475 199.125
381 117.3125 158.22625 200.0
382 117.4375 158.53875 199.6875
383 117.5625 158.8905 200.1875
384 117.5625 159.23825 200.25
385 117.5625 159.56574999999998 200.1875
386 118.6875 159.8935 200.875
387 118.8125 160.24675000000002 201.0
388 118.8125 160.562 201.375
389 119.8125 160.90525 201.375
390 119.8125 161.207 202.25
391 120.5625 161.55075 201.5625
392 120.8125 161.88150000000002 204.0
393 120.9375 162.234 202.0625
394 120.9375 162.566 204.75
395 121.3125 162.9065 204.4375
396 121.8125 163.261 205.9375
397 121.8125 163.59775000000002 205.5
398 121.9375 163.912 206.3125
399 122.9375 164.257 207.0625
400 122.9375 164.625 206.6875
